2,James Ganis,Flesh Eater Courts,94
3,Leigh Martin,Hedonites of Slaanesh,93
4,John Bayliss,Blades of Khorne,92
5,Simon Fitzpatrick,Hosts of Slaanesh,91
6,Richard Hudspith,Skaven,89
7,David Jack,Stormcast Eternals,88
8,James Chalmers,Gloomspite Gitz,86
9,Adam Turner,Mawtribes,84
10,Mike Callaghan,Stormcast Eternals,83
11,Alastair Maxwell,Ossiarch Bonereapers,80
12,Matt Harrison,Hedonites of Slaanesh,78
13,David Nemeth,Disciples of Tzeentch,76
14,Liam Watts,Hedonites of Slaanesh,73
15,Martin Swaffield,Disciples of Tzeentch,71
16,Craig Graham,Sylvaneth,68
