17,Ric Myhill,Beasts of Chaos,376
18,Laurie H,Sylvaneth,376
19,Daniel Ford,Skaventide,375
20,JP Stevens,Hedonites of Slaanesh,374
21,Ritchie McAlley,Gloomspite Gitz,374
22,Martin Morrin,Blades of Khorne,373
23,Richard Arnolds,Hedonites of Slaanesh,373
24,Mark Wildman,Blades of Khorne,372
25,John Bayliss,Blades of Khorne,372
26,Steve Curtis,Flesh Eater Courts,372
27,Liam Watts,Hedonites of Slaanesh,371
28,Daniil Osudin,Disciples of Tzeentch,371
29,Andy Bryan,Skaventide,370
30,Max Barton,Flesh Eater Courts,369
31,Toby Meadows,Stormcast Eternals,369
32,Craig Namvar,Disciples of Tzeentch,368
33,Sam Loving,Stormcast Eternals,368
34,Les Martin,Stormcast Eternals,368
35,Dan George,Hosts of Slaanesh,368
36,Ben Curry,Daughters of Khaine,367
37,Alex Bruce,Order,365
38,Anthony Boulton,Hedonites of Slaanesh,364
39,Ben Johnson,Gloomspite Gitz,363
40,Marc Brookes,Skaven,362
41,Liam Cook,Idoneth Deepkin,362
42,Terry Pike,Maggotkin of Nurgle,362
43,Nathan Watson,Idoneth Deepkin,361
44,Owen Jackson,Sylvaneth,361
45,Matt Lyons,Flesh Eater Courts,361
46,Paul Buckler,Seraphon,359
47,Mark Busby,Hedonites of Slaanesh,359
48,Ian Spink,Bonesplitterz,359
49,Daniel Ryan,Skaventide,359
50,Byron Orde,Bonesplitterz,358
51,Teck Loy,Idoneth Deepkin,358
52,Adrian McWalter,Hedonites of Slaanesh,358
53,Gary Percival,Kharadron Overlords,357
54,Mike Callaghan,Stormcast Eternals,357
55,Russ Veal,Blades of Khorne,357
56,James Chalmers,Gloomspite Gitz,357
57,Ben Murphy,Grand Host of Nagash,354
58,Joe McGough,Legion of Sacrement,353
59,Daniel White,Skaventide,352
60,Colin Cochrane,Daughters of Khaine,351
61,Michael Stewart,Stormcast Eternals,351
62,Karl Breakspear,Nighthaunt,351
63,Simon Eccles,Flesh Eater Courts,350
64,Adam Mumford,Idoneth Deepkin,348
65,Matthew Feltham,Daughters of Khaine,348
66,John Craig,Maggotkin of Nurgle,347
67,William Barton,Idoneth Deepkin,347
68,Stephen Mitchell,Flesh Eater Courts,346
69,Richard Buckler,Blades of Khorne,346
70,John Burgess,Blades of Khorne,346
71,David Jack,Stormcast Eternals,346
72,Gabe Huddlestone,Legion of Blood,346
73,Martin Swaffield,Disciples of Tzeentch,345
74,Chris Tomlin,Order Draconis,344
75,Chris Banks,Skaventide,343
76,Adam Cunis,Order Draconis,343
77,Chris Francis,Sylvaneth,343
78,Thomas Waller,Flesh Eater Courts,342
79,Jack Mayland,Beasts of Chaos,341
80,David Nemeth,Disciples of Tzeentch,341
81,Rob Hull,Flesh Eater Courts,341
82,Sam Saunders,Maggotkin of Nurgle,341
83,Donal Taylor,Gloomspite Gitz,339
84,Craig Graham,Sylvaneth,339
85,Mike Wilding,Hedonites of Slaanesh,339
86,Eric Hoerger,Big Waaagh,339
87,Michael Brough,Skaventide,338
88,Tom Bell,Ironjawz,337
89,Adam Hall,Hedonites of Slaanesh,335
90,James Boots,Blades of Khorne,335
91,Ricky Mee,Skaven,334
92,Neil Montgomery,Hedonites of Slaanesh,334
93,Vincent Chan,Blades of Khorne,334
94,Christian Moore,Hedonites of Slaanesh,332
95,Sebastian Del Monte,Gloomspite Gitz,330
96,James Powell,Order,330
97,Neil Samuels,Hosts of Slaanesh,329
99,Louis Medows,Stormcast Eternals,329
100,Joe Purcell,Hedonites of Slaanesh,328
101,Dan Mitchell,Seraphon,326
102,Ben Mardle,Hedonites of Slaanesh,326
103,Declan McKitrich,Blades of Khorne,325
104,Alex Jones,Skaventide,325
105,Alex Kew,Stormcast Eternals,322
106,Phil McGuiness,Skaventide,320
107,Thomas Lemoine,Flesh Eater Courts,320
108,Simon Cobb,Ironjawz,316
109,Stuart West,Sylvaneth,315
110,Rob Wright,Idoneth Deepkin,315
111,Seb Donley,Idoneth Deepkin,313
112,Tom Fretwell,Flesh Eater Courts,312
113,William Philpott,Order,312
114,Chris Caves Snr,Daughters of Khaine,310
115,Maxime Julian,Stormcast Eternals,308
116,Mark Curtis,Sylvaneth,308
117,Rob Nixon,Beasts of Chaos,306
118,James Grant,Stormcast Eternals,306
119,Simon Froley,Daughters of Khaine,305
120,Steven Phillips,Blades of Khorne,304
